Mode of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-D Traffic (StL Volume),Average Daily Origin Zone Traffic (StL Volume),Average Daily Destination Zone Traffic (StL Volume),Avg Travel Time (sec)
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Kunde Winery Rd.,yes,84,yes,1: Weekday (M-Th),0: All Day (12am-12am),10,4335,722,518
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Kunde Winery Rd.,yes,84,yes,1: Weekday (M-Th),1: Early AM (12am-6am),0,27,13,390
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Kunde Winery Rd.,yes,84,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),3,1026,129,760
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Kunde Winery Rd.,yes,84,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),3,1354,396,398
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Kunde Winery Rd.,yes,84,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),17,3741,1903,437
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Kunde Winery Rd.,yes,84,yes,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),3,486,88,590
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Kunde Winery Rd.,yes,84,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),6,1578,1098,427
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Kunde Winery Rd.,yes,84,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),6,1215,648,410
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Kunde Winery Rd.,yes,84,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),0,1591,177,520
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Landmark Vineyards,yes,283,yes,0: All Days (M-Su),0: All Day (12am-12am),4,4241,492,561
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Landmark Vineyards,yes,283,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),0,1422,298,530
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Landmark Vineyards,yes,283,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),0,1530,162,608
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Landmark Vineyards,yes,283,yes,1: Weekday (M-Th),0: All Day (12am-12am),0,4335,341,510
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Landmark Vineyards,yes,283,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),4,3741,753,530
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Landmark Vineyards,yes,283,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),4,1578,501,530
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Landmark Vineyards,yes,283,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),0,1591,113,510
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Ledsen Winery and Vineyards,yes,45,yes,0: All Days (M-Su),0: All Day (12am-12am),7,4241,798,841
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Ledsen Winery and Vineyards,yes,45,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),3,1422,480,815
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Ledsen Winery and Vineyards,yes,45,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),4,1530,253,880
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Ledsen Winery and Vineyards,yes,45,yes,1: Weekday (M-Th),0: All Day (12am-12am),4,4335,473,530
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Ledsen Winery and Vineyards,yes,45,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),0,1354,272,N/A
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Ledsen Winery and Vineyards,yes,45,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),11,3741,1457,634
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Ledsen Winery and Vineyards,yes,45,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),7,1578,883,625
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Ledsen Winery and Vineyards,yes,45,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),3,1215,479,648
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Ledsen Winery and Vineyards,yes,45,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),0,1591,154,530
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Highway NB,yes,335,yes,0: All Days (M-Su),0: All Day (12am-12am),242,4241,15338,441
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Highway NB,yes,335,yes,0: All Days (M-Su),1: Early AM (12am-6am),1,35,392,354
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Highway NB,yes,335,yes,0: All Days (M-Su),2: Peak AM (6am-10am),40,864,3166,438
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Highway NB,yes,335,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),85,1422,5221,469
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Highway NB,yes,335,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),91,1530,4846,421
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Highway NB,yes,335,yes,0: All Days (M-Su),5: Late PM (7pm-12am),23,390,1713,414
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Highway NB,yes,335,yes,1: Weekday (M-Th),0: All Day (12am-12am),235,4335,14949,444
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Highway NB,yes,335,yes,1: Weekday (M-Th),1: Early AM (12am-6am),1,27,386,430
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Highway NB,yes,335,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),44,1026,3705,456
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Highway NB,yes,335,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),79,1354,4596,482
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Highway NB,yes,335,yes,1: Weekday (M-Th),5: Late PM (7pm-12am),21,337,1497,382
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Highway NB,yes,335,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),231,3741,15459,441
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Highway NB,yes,335,yes,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),7,50,393,341
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Highway NB,yes,335,yes,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),26,486,1888,408
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Highway NB,yes,335,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),102,1578,6420,470
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Highway NB,yes,335,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),75,1215,4765,432
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Highway NB,yes,335,yes,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),22,412,1993,399
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Highway NB,yes,335,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),91,1591,4764,415
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Hwy SB,yes,120,yes,0: All Days (M-Su),0: All Day (12am-12am),37,4241,24109,1632
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Hwy SB,yes,120,yes,0: All Days (M-Su),1: Early AM (12am-6am),0,35,502,1898
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Hwy SB,yes,120,yes,0: All Days (M-Su),2: Peak AM (6am-10am),3,864,4939,1681
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Hwy SB,yes,120,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),17,1422,8734,1569
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Hwy SB,yes,120,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),10,1530,7423,1692
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Hwy SB,yes,120,yes,0: All Days (M-Su),5: Late PM (7pm-12am),5,390,2511,1687
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Hwy SB,yes,120,yes,1: Weekday (M-Th),0: All Day (12am-12am),35,4335,24531,1582
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Hwy SB,yes,120,yes,1: Weekday (M-Th),1: Early AM (12am-6am),0,27,510,705
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Hwy SB,yes,120,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),5,1026,5755,1357
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Hwy SB,yes,120,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),19,1354,8372,1596
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Hwy SB,yes,120,yes,1: Weekday (M-Th),5: Late PM (7pm-12am),1,337,2244,1422
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Hwy SB,yes,120,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),35,3741,21953,1690
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Hwy SB,yes,120,yes,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),0,50,455,3090
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Hwy SB,yes,120,yes,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),1,486,2922,3705
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Hwy SB,yes,120,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),17,1578,9221,1682
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Hwy SB,yes,120,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),10,1215,6550,1476
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Hwy SB,yes,120,yes,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),7,412,2805,1242
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Sonoma Hwy SB,yes,120,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),8,1591,7650,1720
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,St. Francis Winery and Vineyards 1,yes,93,yes,0: All Days (M-Su),0: All Day (12am-12am),3,4241,489,628
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,St. Francis Winery and Vineyards 1,yes,93,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),3,1422,294,628
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,St. Francis Winery and Vineyards 1,yes,93,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),0,1530,165,N/A
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,St. Francis Winery and Vineyards 1,yes,93,yes,1: Weekday (M-Th),0: All Day (12am-12am),0,4335,284,570
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,St. Francis Winery and Vineyards 1,yes,93,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),0,1354,173,570
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,St. Francis Winery and Vineyards 1,yes,93,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),7,3741,892,615
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,St. Francis Winery and Vineyards 1,yes,93,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),7,1578,541,615
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,St. Francis Winery and Vineyards 1,yes,93,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),0,1591,77,N/A
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Trinity Rd.,yes,195,yes,0: All Days (M-Su),0: All Day (12am-12am),59,4241,2371,539
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Trinity Rd.,yes,195,yes,0: All Days (M-Su),1: Early AM (12am-6am),0,35,63,675
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Trinity Rd.,yes,195,yes,0: All Days (M-Su),2: Peak AM (6am-10am),22,864,408,523
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Trinity Rd.,yes,195,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),23,1422,953,542
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Trinity Rd.,yes,195,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),14,1530,823,557
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Trinity Rd.,yes,195,yes,0: All Days (M-Su),5: Late PM (7pm-12am),0,390,125,500
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Trinity Rd.,yes,195,yes,1: Weekday (M-Th),0: All Day (12am-12am),65,4335,2212,538
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Trinity Rd.,yes,195,yes,1: Weekday (M-Th),1: Early AM (12am-6am),0,27,79,675
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Trinity Rd.,yes,195,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),30,1026,478,528
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Trinity Rd.,yes,195,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),20,1354,841,565
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Trinity Rd.,yes,195,yes,1: Weekday (M-Th),5: Late PM (7pm-12am),0,337,89,530
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Trinity Rd.,yes,195,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),31,3741,2372,511
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Trinity Rd.,yes,195,yes,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),5,486,209,548
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Trinity Rd.,yes,195,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),22,1578,1142,511
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Trinity Rd.,yes,195,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),2,1215,818,490
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Trinity Rd.,yes,195,yes,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),0,412,181,470
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Trinity Rd.,yes,195,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),14,1591,725,522
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Warm Springs Rd.,yes,25,yes,0: All Days (M-Su),0: All Day (12am-12am),620,4241,2456,44
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Warm Springs Rd.,yes,25,yes,0: All Days (M-Su),1: Early AM (12am-6am),7,35,27,41
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Warm Springs Rd.,yes,25,yes,0: All Days (M-Su),2: Peak AM (6am-10am),138,864,428,44
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Warm Springs Rd.,yes,25,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),231,1422,992,45
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Warm Springs Rd.,yes,25,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),161,1530,749,43
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Warm Springs Rd.,yes,25,yes,0: All Days (M-Su),5: Late PM (7pm-12am),84,390,260,45
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Warm Springs Rd.,yes,25,yes,1: Weekday (M-Th),0: All Day (12am-12am),606,4335,2398,44
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Warm Springs Rd.,yes,25,yes,1: Weekday (M-Th),1: Early AM (12am-6am),6,27,28,41
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Warm Springs Rd.,yes,25,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),182,1026,494,44
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Warm Springs Rd.,yes,25,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),199,1354,959,44
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Warm Springs Rd.,yes,25,yes,1: Weekday (M-Th),5: Late PM (7pm-12am),71,337,178,42
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Warm Springs Rd.,yes,25,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),620,3741,2434,45
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Warm Springs Rd.,yes,25,yes,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),7,50,23,42
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Warm Springs Rd.,yes,25,yes,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),56,486,274,45
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Warm Springs Rd.,yes,25,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),294,1578,1111,47
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Warm Springs Rd.,yes,25,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),153,1215,685,41
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Warm Springs Rd.,yes,25,yes,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),111,412,340,45
All Vehicles - StL All Vehicles Volume,,Bennet Valley Rd.,yes,129,yes,,Warm Springs Rd.,yes,25,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),148,1591,740,44
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Arnold Dr.,yes,315,yes,0: All Days (M-Su),0: All Day (12am-12am),6,1043,6281,1658
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Arnold Dr.,yes,315,yes,0: All Days (M-Su),2: Peak AM (6am-10am),0,101,1158,2430
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Arnold Dr.,yes,315,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),3,601,2257,1481
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Arnold Dr.,yes,315,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),3,312,2126,1725
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Arnold Dr.,yes,315,yes,1: Weekday (M-Th),0: All Day (12am-12am),6,716,6039,1778
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Arnold Dr.,yes,315,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),3,117,1333,2430
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Arnold Dr.,yes,315,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),3,410,1991,1890
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Arnold Dr.,yes,315,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),0,170,2090,675
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Arnold Dr.,yes,315,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),9,1598,6269,1915
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Arnold Dr.,yes,315,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),0,954,2752,885
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Arnold Dr.,yes,315,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),9,547,1944,2121
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Bennet Valley Rd.,yes,129,yes,0: All Days (M-Su),0: All Day (12am-12am),10,1043,4241,601
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Bennet Valley Rd.,yes,129,yes,0: All Days (M-Su),2: Peak AM (6am-10am),0,101,864,480
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Bennet Valley Rd.,yes,129,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),0,601,1422,517
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Bennet Valley Rd.,yes,129,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),7,312,1530,650
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Bennet Valley Rd.,yes,129,yes,1: Weekday (M-Th),0: All Day (12am-12am),7,716,4335,600
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Bennet Valley Rd.,yes,129,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),0,117,1026,480
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Bennet Valley Rd.,yes,129,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),0,410,1354,N/A
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Bennet Valley Rd.,yes,129,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),7,170,1591,640
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Bennet Valley Rd.,yes,129,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),10,1598,3741,571
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Bennet Valley Rd.,yes,129,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),3,954,1578,517
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Bennet Valley Rd.,yes,129,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),6,547,1215,735
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Chateau St. Jean Winery,yes,52,yes,0: All Days (M-Su),0: All Day (12am-12am),1046,1043,1043,N/A
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Chateau St. Jean Winery,yes,52,yes,0: All Days (M-Su),1: Early AM (12am-6am),7,7,7,N/A
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Chateau St. Jean Winery,yes,52,yes,0: All Days (M-Su),2: Peak AM (6am-10am),107,101,101,N/A
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Chateau St. Jean Winery,yes,52,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),611,601,601,N/A
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Chateau St. Jean Winery,yes,52,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),313,312,312,N/A
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Chateau St. Jean Winery,yes,52,yes,0: All Days (M-Su),5: Late PM (7pm-12am),20,21,21,N/A
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Chateau St. Jean Winery,yes,52,yes,1: Weekday (M-Th),0: All Day (12am-12am),718,716,716,N/A
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Chateau St. Jean Winery,yes,52,yes,1: Weekday (M-Th),1: Early AM (12am-6am),6,5,5,N/A
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Chateau St. Jean Winery,yes,52,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),120,117,117,N/A
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Chateau St. Jean Winery,yes,52,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),412,410,410,N/A
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Chateau St. Jean Winery,yes,52,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),171,170,170,N/A
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Chateau St. Jean Winery,yes,52,yes,1: Weekday (M-Th),5: Late PM (7pm-12am),14,13,13,N/A
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Chateau St. Jean Winery,yes,52,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1608,1598,1598,N/A
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Chateau St. Jean Winery,yes,52,yes,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),9,7,7,N/A
All Vehicles - StL All Vehicles Volume,,Chateau St. Jean Winery,yes,52,yes,,Chateau St. Jean Winery,yes,52,yes,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),52,52,52,N/A
